year	hadcrut4	gistemp	noaa	berkeley	cowtan_way
1880	0.09523809523809523	0.04904761904761906	0.07924603174603174	0.007952380952380989	0.0666269841269842
1881	0.1222380952380952	0.13904761904761906	0.11591269841269843	0.120952380952381	0.12712698412698414
1882	0.10923809523809522	0.10904761904761906	0.10257936507936509	0.05895238095238098	0.06854365079365077
1883	0.02623809523809517	0.04904761904761906	0.019246031746031733	0.012952380952380993	0.014793650793650803
1884	-0.08676190476190476	-0.07095238095238096	-0.06575396825396826	-0.154047619047619	-0.1472896825396825
1885	-0.0667619047619048	-0.11095238095238094	-0.0507539682539683	-0.11704761904761901	-0.12695634920634924
1886	-0.044761904761904836	-0.09095238095238092	-0.043253968253968184	-0.14804761904761898	-0.0972063492063493
1887	-0.09576190476190477	-0.14095238095238097	-0.07992063492063498	-0.166047619047619	-0.13603968253968257
1888	0.015238095238095217	0.03904761904761905	0.07007936507936507	0.03895238095238096	0.016793650793650805
1889	0.1512380952380952	0.10904761904761906	0.1100793650793651	0.154952380952381	0.1500436507936508
1890	-0.09376190476190482	-0.13095238095238096	-0.14492063492063492	-0.13004761904761902	-0.09803968253968254
1891	-0.007761904761904803	-0.010952380952380936	-0.0540873015873016	-0.026047619047618986	-0.00678968253968254
1892	-0.1327619047619048	-0.06095238095238095	-0.10575396825396824	-0.07804761904761898	-0.11170634920634914
1893	-0.15076190476190476	-0.10095238095238093	-0.1265873015873016	-0.06804761904761897	-0.08045634920634925
1894	-0.08776190476190476	-0.09095238095238092	-0.10658730158730159	-0.05204761904761901	-0.05203968253968255
1895	-0.0677619047619048	-0.010952380952380936	-0.03825396825396826	0.025952380952381005	-0.02003968253968258
1896	0.13623809523809519	0.09904761904761906	0.10674603174603174	0.12295238095238101	0.14762698412698413
1897	0.1162380952380952	0.10904761904761906	0.10424603174603174	0.142952380952381	0.13946031746031745
1898	-0.08976190476190482	-0.05095238095238094	-0.06825396825396826	-0.07204761904761903	-0.08670634920634923
1899	0.03323809523809523	0.03904761904761905	0.04757936507936511	0.108952380952381	0.059626984126984084
1900	0.1192380952380952	0.12904761904761908	0.12841269841269842	0.215952380952381	0.17262698412698413
1901	0.0632380952380952	0.05904761904761907	0.04674603174603176	0.13295238095238102	0.12662698412698412
1902	-0.07976190476190481	-0.07095238095238096	-0.05658730158730155	-0.01204761904761903	-0.023539682539682583
1903	-0.15676190476190477	-0.16095238095238093	-0.17408730158730154	-0.111047619047619	-0.10495634920634922
1904	-0.1977619047619048	-0.2509523809523809	-0.25908730158730153	-0.156047619047619	-0.15170634920634923
1905	-0.05476190476190479	-0.05095238095238094	-0.08242063492063492	0.004952380952380986	0.007710317460317417
1906	0.03923809523809518	-0.010952380952380936	-0.010753968253968238	0.07295238095238099	0.09421031746031744
1907	-0.1427619047619048	-0.17095238095238094	-0.18492063492063485	-0.09504761904761899	-0.06803968253968251
1908	-0.1887619047619048	-0.21095238095238092	-0.23492063492063484	-0.11904761904761896	-0.10570634920634925
1909	-0.1997619047619048	-0.27095238095238094	-0.24658730158730155	-0.182047619047619	-0.1598730158730159
1910	-0.16776190476190478	-0.22095238095238093	-0.20742063492063492	-0.15004761904761899	-0.13462301587301595
1911	-0.22176190476190483	-0.23095238095238094	-0.24492063492063484	-0.168047619047619	-0.15445634920634926
1912	-0.11476190476190484	-0.14095238095238097	-0.13992063492063492	-0.10304761904761894	-0.0822896825396825
1913	-0.10176190476190478	-0.13095238095238096	-0.1199206349206349	-0.06204761904761902	-0.04595634920634917
1914	0.07823809523809522	0.05904761904761907	0.057579365079365064	0.11095238095238102	0.12821031746031747
1915	0.18123809523809523	0.06904761904761905	0.10591269841269842	0.169952380952381	0.19379365079365077
1916	-0.06076190476190474	-0.15095238095238092	-0.1232539682539682	-0.07404761904761897	-0.04137301587301595
1917	-0.14576190476190476	-0.2509523809523809	-0.19575396825396826	-0.18404761904761902	-0.14212301587301585
1918	-0.01076190476190475	-0.08095238095238091	-0.10325396825396818	-0.036047619047618995	-0.007706349206349217
1919	0.04723809523809519	-0.06095238095238095	-0.04992063492063492	0.047952380952381024	0.05312698412698408
1920	0.07523809523809522	-0.06095238095238095	-0.02992063492063496	0.06295238095238098	0.09229365079365076
1921	0.1352380952380952	0.019047619047619063	0.0375793650793651	0.134952380952381	0.15179365079365076
1922	0.02023809523809522	-0.07095238095238096	-0.044920634920634916	0.03995238095238102	0.06212698412698414
1923	0.04623809523809519	-0.05095238095238094	-0.05158730158730154	0.05895238095238098	0.07937698412698413
